priority,merchant_product,observed_price,verified_access,pilot_task_and_constraint
1,[Pixel Surplus — Vintage Polaroid Photo Frames](https://pixelsurplus.com/products/vintage-polaroid-photo-frames),$6 desktop commercial; $12 extended,UCP + Catalog checkout URL,Compose a finished photo collage with 22 PNG frames. Desktop license permits rasterized web artwork but restricts application embedding; select the correct use/license.
2,[True Grit — Grunge And Grime](https://www.truegrittexturesupply.com/products/grunge-and-grime),$12 Adobe variant,UCP + Catalog checkout URL,Apply purchased texture to a finished poster; choose Adobe TIFF or an appropriate PNG variant. Per-user license and app compatibility matter; AI training is prohibited.
3,[Craftwork — Interfaces](https://craftwork.design/product/interfaces-illustrations),From $18; choose license,Product landing,"Build a page with purchased illustrations. Verify format, commercial license, account delivery and checkout access before purchase."
4,[Untitled UI — Icons](https://www.untitledui.com/icons),PRO license; refresh selected tier,Product + license + npm documentation,Buy then use icons in a real app. Paid private npm access is a useful fulfillment path; higher pilot budget and account setup required.
5,[Streamline — lifetime assets](https://www.streamlinehq.com/lifetime),Select family and seats,"Purchase page documents ZIP, API and MCP access",Buy a specific set and retrieve an icon via MCP/API. One-time license available; native asset retrieval does not establish native payment access.
6,[RetroSupply — Ink Bleed for Photoshop](https://www.retrosupply.co/products/ink-bleed-for-photoshop),Live Catalog $19,UCP + Catalog checkout URL,"Produce a comic-style image. Needs Photoshop automation; cached page extraction showed $16/unavailable, while live JSON and Catalog agreed on $19/available. Refresh before checkout."
7,[Heritage Type — Rough & Raw](https://www.heritagetype.com/products/rough-raw-brushes),"$14, one user",UCP + Catalog checkout URL,Lettering artwork with 14 brushes. Procreate dependency makes it weaker for headless coding agents. Email download documented.
8,[UI8 — 721 Flat Icons Bundle](https://ui8.net/flat-icons/products/731-flat-icons),Refresh product/license price,Product landing,Build an interface using purchased icons. Verify account requirements and actual usable download formats. No checkout API tested.
9,[FilterGrade — 25 Handmade Print Textures](https://filtergrade.com/product/25-handmade-print-textures/),Personal / Commercial / Extended selector,Indexed product page; direct fetch 403,Add texture to a visible output. ZIP/JPG delivery documented; browser challenge and license selection require testing.
10,[Creative Market / IconsDrop — 120 icons](https://creativemarket.com/IconsDrop/283181557-120-Modern-E-commerce-Shopping-Icons),Indexed listing $25; refresh commercial tier,Indexed product page; direct fetch 403,Purchase SVG icons for an ecommerce UI. Price may depend on license; authentication and browser challenges make it a secondary pilot.
11,[ShoutBAM — Fade & Shade Photoshop](https://www.shoutbam.com/product/fade-shade-brush-set-photoshop),Tools page lists $16; refresh selected product,Product landing,Create shaded artwork using Photoshop brushes. Requires application control and license review. Shares a supplier with Heritage Type's selected product; not independent supplier coverage.
12,[Creative Tim — Paper Kit 2 PRO](https://www.creative-tim.com/product/paper-kit-2-pro),Select license and current price,Product + license page,Buy a kit and build a page. Check Bootstrap compatibility and SaaS permission: lower license tiers do not cover SaaS. Higher ticket size and overlapping free alternatives.
13,[Ugmonk — small Analog card sleeves](https://ugmonk.com/products/small-analog-card-sleeves-set-of-6-bright),$12 for six,UCP + Catalog checkout URL,Buy supplies for an operator's planning system. Shipping/address/tax needed; fulfillment is not instant or agent-usable. Physical checkout control cohort.
14,[Craighill — Wilson Keyring](https://craighill.co/products/wilson-keyring),$15 brass variant,UCP + Catalog checkout URL,Simple one-variant physical purchase. Requires destination and delivery tracking; weaker task-completion proof than a digital asset.
15,[Field Notes — Original Kraft](https://fieldnotesbrand.com/products/original-kraft),Homepage lists $12.95,Product/storefront; UCP path 404,Buy notebooks for an operator. Human checkout comparison only until an actual API integration is identified.
